Epoch,Training accuracy,Validation accuracy,Test accuracy
187,0.9695,0.9075," 0.86"
188,0.9945,0.9425," 0.92"
189,0.9875,0.94," 0.915"
190,0.9875,0.94," 0.915"
191,0.9875,0.94," 0.915"
192,0.9815,0.9325," 0.915"
193,0.984,0.93," 0.905"
194,0.984,0.93," 0.905"
195,0.995,0.9525," 0.925"
196,0.995,0.9525," 0.925"
197,0.996,0.955," 0.925"
198,0.996,0.955," 0.925"
199,0.996,0.955," 0.925"
200,0.996,0.955," 0.925"
201,0.985,0.935," 0.925"
202,0.985,0.935," 0.925"
203,0.995,0.9475," 0.93"
204,0.995,0.9475," 0.93"
205,0.995,0.9475," 0.93"
206,0.9915,0.9425," 0.925"
207,0.9965,0.9425," 0.935"
208,0.9975,0.9475," 0.935"
209,0.9975,0.9475," 0.935"
210,0.9975,0.9475," 0.935"
211,0.9985,0.9475," 0.93"
212,0.9985,0.9475," 0.93"
213,0.9985,0.9475," 0.93"
214,0.995,0.95," 0.925"
215,0.995,0.95," 0.925"
216,0.995,0.95," 0.925"
