Epoch,Case,Index,Value,Word,
Epoch 10," Highest"," Index: 1284"," Value: 1.364       "," Word: aeroflot",
Epoch 10," Highest"," Index: 7901"," Value: 1.275       "," Word: pleasant",
Epoch 10," Highest"," Index: 1545"," Value: 1.248       "," Word: and",
Epoch 10," Highest"," Index: 4957"," Value: 1.215       "," Word: future",
Epoch 10," Lowest"," Index: 10317"," Value: -2.458      "," Word: to",
Epoch 10," Lowest"," Index: 7273"," Value: -2.100      "," Word: not",
Epoch 10," Lowest"," Index: 11070"," Value: -1.890      "," Word: we",
Epoch 10," Lowest"," Index: 10180"," Value: -1.870      "," Word: that",
Epoch 10," Lowest"," Index: 5553"," Value: -1.735      "," Word: i",
Epoch 10," Lowest"," Index: 18"," Value: -1.352      "," Word: ",
Epoch 10," Lowest"," Index: 10208"," Value: -1.260      "," Word: they",
Epoch 10," Lowest"," Index: 5663"," Value: -1.248      "," Word: in",
Epoch 10," Lowest"," Index: 7220"," Value: -1.079      "," Word: no",
Epoch 10," Lowest"," Index: 19"," Value: -1.063      "," Word: .",
Epoch 12," Highest"," Index: 5091"," Value: 2.094       "," Word: good",
Epoch 12," Highest"," Index: 10921"," Value: 1.594       "," Word: very",
Epoch 12," Highest"," Index: 4904"," Value: 1.581       "," Word: friendly",
Epoch 12," Highest"," Index: 4392"," Value: 1.526       "," Word: excellent",
Epoch 12," Highest"," Index: 2138"," Value: 1.467       "," Word: best",
Epoch 12," Highest"," Index: 4795"," Value: 1.435       "," Word: food",
Epoch 12," Highest"," Index: 1284"," Value: 1.364       "," Word: aeroflot",
Epoch 12," Highest"," Index: 7901"," Value: 1.275       "," Word: pleasant",
Epoch 12," Highest"," Index: 1545"," Value: 1.248       "," Word: and",
Epoch 12," Highest"," Index: 4957"," Value: 1.215       "," Word: future",
Epoch 12," Lowest"," Index: 10317"," Value: -2.458      "," Word: to",
Epoch 12," Lowest"," Index: 7273"," Value: -2.100      "," Word: not",
Epoch 12," Lowest"," Index: 11070"," Value: -1.890      "," Word: we",
Epoch 12," Lowest"," Index: 10180"," Value: -1.870      "," Word: that",
Epoch 12," Lowest"," Index: 5553"," Value: -1.735      "," Word: i",
Epoch 12," Lowest"," Index: 18"," Value: -1.352      "," Word: ",
Epoch 12," Lowest"," Index: 10208"," Value: -1.260      "," Word: they",
Epoch 12," Lowest"," Index: 5663"," Value: -1.248      "," Word: in",
Epoch 12," Lowest"," Index: 7220"," Value: -1.079      "," Word: no",
Epoch 12," Lowest"," Index: 19"," Value: -1.063      "," Word: .",
Epoch 14," Highest"," Index: 5091"," Value: 2.094       "," Word: good",
Epoch 14," Highest"," Index: 10921"," Value: 1.594       "," Word: very",
Epoch 14," Highest"," Index: 4904"," Value: 1.581       "," Word: friendly",
Epoch 14," Highest"," Index: 4392"," Value: 1.526       "," Word: excellent",
Epoch 14," Highest"," Index: 2138"," Value: 1.467       "," Word: best",
Epoch 14," Highest"," Index: 4795"," Value: 1.435       "," Word: food",
Epoch 14," Highest"," Index: 1284"," Value: 1.364       "," Word: aeroflot",
Epoch 14," Highest"," Index: 7901"," Value: 1.275       "," Word: pleasant",
Epoch 14," Highest"," Index: 1545"," Value: 1.248       "," Word: and",
Epoch 14," Highest"," Index: 4957"," Value: 1.215       "," Word: future",
Epoch 14," Lowest"," Index: 10317"," Value: -2.458      "," Word: to",
Epoch 14," Lowest"," Index: 7273"," Value: -2.100      "," Word: not",
Epoch 14," Lowest"," Index: 11070"," Value: -1.890      "," Word: we",
Epoch 14," Lowest"," Index: 10180"," Value: -1.870      "," Word: that",
Epoch 14," Lowest"," Index: 5553"," Value: -1.735      "," Word: i",
Epoch 14," Lowest"," Index: 18"," Value: -1.352      "," Word: ",
Epoch 14," Lowest"," Index: 10208"," Value: -1.260      "," Word: they",
Epoch 14," Lowest"," Index: 5663"," Value: -1.248      "," Word: in",
Epoch 14," Lowest"," Index: 7220"," Value: -1.079      "," Word: no",
Epoch 14," Lowest"," Index: 19"," Value: -1.063      "," Word: .",
Epoch 16," Highest"," Index: 5091"," Value: 2.094       "," Word: good",
Epoch 16," Highest"," Index: 10921"," Value: 1.594       "," Word: very",
Epoch 16," Highest"," Index: 4904"," Value: 1.581       "," Word: friendly",
Epoch 16," Highest"," Index: 4392"," Value: 1.526       "," Word: excellent",
Epoch 16," Highest"," Index: 2138"," Value: 1.467       "," Word: best",
Epoch 16," Highest"," Index: 4795"," Value: 1.435       "," Word: food",
Epoch 16," Highest"," Index: 1284"," Value: 1.364       "," Word: aeroflot",
Epoch 16," Highest"," Index: 7901"," Value: 1.275       "," Word: pleasant",
Epoch 16," Highest"," Index: 1545"," Value: 1.248       "," Word: and",
Epoch 16," Highest"," Index: 4957"," Value: 1.215       "," Word: future",
Epoch 16," Lowest"," Index: 10317"," Value: -2.458      "," Word: to",
Epoch 16," Lowest"," Index: 7273"," Value: -2.100      "," Word: not",
Epoch 16," Lowest"," Index: 11070"," Value: -1.890      "," Word: we",
Epoch 16," Lowest"," Index: 10180"," Value: -1.870      "," Word: that",
Epoch 16," Lowest"," Index: 5553"," Value: -1.735      "," Word: i",
Epoch 16," Lowest"," Index: 18"," Value: -1.352      "," Word: ",
Epoch 16," Lowest"," Index: 10208"," Value: -1.260      "," Word: they",
Epoch 16," Lowest"," Index: 5663"," Value: -1.248      "," Word: in",
Epoch 16," Lowest"," Index: 7220"," Value: -1.079      "," Word: no",
Epoch 16," Lowest"," Index: 19"," Value: -1.063      "," Word: .",
Epoch 18," Highest"," Index: 5091"," Value: 2.094       "," Word: good",
Epoch 18," Highest"," Index: 10921"," Value: 1.594       "," Word: very",
Epoch 18," Highest"," Index: 4904"," Value: 1.581       "," Word: friendly",
Epoch 18," Highest"," Index: 4392"," Value: 1.526       "," Word: excellent",
Epoch 18," Highest"," Index: 2138"," Value: 1.467       "," Word: best",
Epoch 18," Highest"," Index: 4795"," Value: 1.435       "," Word: food",
Epoch 18," Highest"," Index: 1284"," Value: 1.364       "," Word: aeroflot",
Epoch 18," Highest"," Index: 7901"," Value: 1.275       "," Word: pleasant",
Epoch 18," Highest"," Index: 1545"," Value: 1.248       "," Word: and",
Epoch 18," Highest"," Index: 4957"," Value: 1.215       "," Word: future",
Epoch 18," Lowest"," Index: 10317"," Value: -2.458      "," Word: to",
Epoch 18," Lowest"," Index: 7273"," Value: -2.100      "," Word: not",
Epoch 18," Lowest"," Index: 11070"," Value: -1.890      "," Word: we",
Epoch 18," Lowest"," Index: 10180"," Value: -1.870      "," Word: that",
Epoch 18," Lowest"," Index: 5553"," Value: -1.735      "," Word: i",
Epoch 18," Lowest"," Index: 18"," Value: -1.352      "," Word: ",
Epoch 18," Lowest"," Index: 10208"," Value: -1.260      "," Word: they",
Epoch 18," Lowest"," Index: 5663"," Value: -1.248      "," Word: in",
Epoch 18," Lowest"," Index: 7220"," Value: -1.079      "," Word: no",
Epoch 18," Lowest"," Index: 19"," Value: -1.063      "," Word: .",
Epoch 20," Highest"," Index: 5091"," Value: 2.094       "," Word: good",
Epoch 20," Highest"," Index: 10921"," Value: 1.594       "," Word: very",
Epoch 20," Highest"," Index: 4904"," Value: 1.581       "," Word: friendly",
Epoch 20," Highest"," Index: 4392"," Value: 1.526       "," Word: excellent",
Epoch 20," Highest"," Index: 2138"," Value: 1.467       "," Word: best",
Epoch 20," Highest"," Index: 4795"," Value: 1.435       "," Word: food",
Epoch 20," Highest"," Index: 1284"," Value: 1.364       "," Word: aeroflot",
Epoch 20," Highest"," Index: 7901"," Value: 1.275       "," Word: pleasant",
Epoch 20," Highest"," Index: 1545"," Value: 1.248       "," Word: and",
Epoch 20," Highest"," Index: 4957"," Value: 1.215       "," Word: future",
Epoch 20," Lowest"," Index: 10317"," Value: -2.458      "," Word: to",
Epoch 20," Lowest"," Index: 7273"," Value: -2.100      "," Word: not",
Epoch 20," Lowest"," Index: 11070"," Value: -1.890      "," Word: we",
Epoch 20," Lowest"," Index: 10180"," Value: -1.870      "," Word: that",
Epoch 20," Lowest"," Index: 5553"," Value: -1.735      "," Word: i",
Epoch 20," Lowest"," Index: 18"," Value: -1.352      "," Word: ",
Epoch 20," Lowest"," Index: 10208"," Value: -1.260      "," Word: they",
Epoch 20," Lowest"," Index: 5663"," Value: -1.248      "," Word: in",
Epoch 20," Lowest"," Index: 7220"," Value: -1.079      "," Word: no",
Epoch 20," Lowest"," Index: 19"," Value: -1.063      "," Word: .",
Epoch 22," Highest"," Index: 5091"," Value: 2.594       "," Word: good",
Epoch 22," Highest"," Index: 4392"," Value: 2.476       "," Word: excellent",
Epoch 22," Highest"," Index: 10921"," Value: 2.144       "," Word: very",
Epoch 22," Highest"," Index: 3349"," Value: 2.016       "," Word: crew",
Epoch 22," Highest"," Index: 2138"," Value: 1.967       "," Word: best",
Epoch 22," Highest"," Index: 4904"," Value: 1.881       "," Word: friendly",
Epoch 22," Highest"," Index: 4795"," Value: 1.735       "," Word: food",
Epoch 22," Highest"," Index: 4064"," Value: 1.610       "," Word: easy",
Epoch 22," Highest"," Index: 5129"," Value: 1.595       "," Word: great",
Epoch 22," Highest"," Index: 1284"," Value: 1.564       "," Word: aeroflot",
Epoch 22," Lowest"," Index: 7273"," Value: -2.950      "," Word: not",
Epoch 22," Lowest"," Index: 10180"," Value: -2.070      "," Word: that",
Epoch 22," Lowest"," Index: 10208"," Value: -2.060      "," Word: they",
Epoch 22," Lowest"," Index: 18"," Value: -1.952      "," Word: ",
Epoch 22," Lowest"," Index: 7220"," Value: -1.929      "," Word: no",
Epoch 22," Lowest"," Index: 1783"," Value: -1.924      "," Word: at",
Epoch 22," Lowest"," Index: 7371"," Value: -1.790      "," Word: of",
Epoch 22," Lowest"," Index: 7"," Value: -1.591      "," Word: """,
Epoch 22," Lowest"," Index: 19"," Value: -1.563      "," Word: .",
Epoch 22," Lowest"," Index: 7076"," Value: -1.511      "," Word: my",
Epoch 24," Highest"," Index: 5091"," Value: 2.594       "," Word: good",
Epoch 24," Highest"," Index: 4392"," Value: 2.476       "," Word: excellent",
Epoch 24," Highest"," Index: 10921"," Value: 2.144       "," Word: very",
Epoch 24," Highest"," Index: 3349"," Value: 2.016       "," Word: crew",
Epoch 24," Highest"," Index: 2138"," Value: 1.967       "," Word: best",
Epoch 24," Highest"," Index: 4904"," Value: 1.881       "," Word: friendly",
Epoch 24," Highest"," Index: 4795"," Value: 1.735       "," Word: food",
Epoch 24," Highest"," Index: 4064"," Value: 1.610       "," Word: easy",
Epoch 24," Highest"," Index: 5129"," Value: 1.595       "," Word: great",
Epoch 24," Highest"," Index: 1284"," Value: 1.564       "," Word: aeroflot",
Epoch 24," Lowest"," Index: 7273"," Value: -2.950      "," Word: not",
Epoch 24," Lowest"," Index: 10180"," Value: -2.070      "," Word: that",
Epoch 24," Lowest"," Index: 10208"," Value: -2.060      "," Word: they",
Epoch 24," Lowest"," Index: 18"," Value: -1.952      "," Word: ",
Epoch 24," Lowest"," Index: 7220"," Value: -1.929      "," Word: no",
Epoch 24," Lowest"," Index: 1783"," Value: -1.924      "," Word: at",
Epoch 24," Lowest"," Index: 7371"," Value: -1.790      "," Word: of",
Epoch 24," Lowest"," Index: 7"," Value: -1.591      "," Word: """,
Epoch 24," Lowest"," Index: 19"," Value: -1.563      "," Word: .",
Epoch 24," Lowest"," Index: 7076"," Value: -1.511      "," Word: my",
Epoch 26," Highest"," Index: 5091"," Value: 2.744       "," Word: good",
Epoch 26," Highest"," Index: 4392"," Value: 2.626       "," Word: excellent",
Epoch 26," Highest"," Index: 10921"," Value: 2.294       "," Word: very",
Epoch 26," Highest"," Index: 3349"," Value: 2.266       "," Word: crew",
Epoch 26," Highest"," Index: 4904"," Value: 2.031       "," Word: friendly",
Epoch 26," Highest"," Index: 2504"," Value: 2.008       "," Word: canada",
Epoch 26," Highest"," Index: 2138"," Value: 1.967       "," Word: best",
